country,year,sex,measure,category,method,unit,value
Germany,2017,Male,Life expectancy,Total,,Years,78.6
Germany,2016,Male,Life expectancy,Total,,Years,78.4
Germany,2015,Male,Life expectancy,Total,,Years,78.1
Germany,2024,Female,Life expectancy,Total,,Years,83.5
Germany,2023,Female,Life expectancy,Total,,Years,83.2
Germany,2022,Female,Life expectancy,Total,,Years,82.9
Germany,2021,Female,Life expectancy,Total,,Years,83.2
Germany,2020,Female,Life expectancy,Total,,Years,83.4
Germany,2024,Total,Life expectancy,Total,,Years,81.2
Germany,2023,Total,Life expectancy,Total,,Years,80.9
Germany,2022,Total,Life expectancy,Total,,Years,80.5
Germany,2021,Total,Life expectancy,Total,,Years,80.7
Germany,2020,Total,Life expectancy,Total,,Years,81
Germany,2019,Total,Life expectancy,Total,,Years,81.2
Germany,2018,Total,Life expectancy,Total,,Years,80.9
Germany,2017,Total,Life expectancy,Total,,Years,81
Germany,2016,Total,Life expectancy,Total,,Years,80.9
Germany,2015,Total,Life expectancy,Total,,Years,80.6
Greece,2023,Male,Life expectancy,Total,,Years,79.1
Greece,2022,Male,Life expectancy,Total,,Years,78.2
Greece,2019,Female,Life expectancy,Total,,Years,84.1
Greece,2018,Female,Life expectancy,Total,,Years,84.2
Greece,2017,Female,Life expectancy,Total,,Years,83.7
Greece,2016,Female,Life expectancy,Total,,Years,83.7
Greece,2015,Female,Life expectancy,Total,,Years,83.5
Greece,2021,Male,Life expectancy,Total,,Years,77.3
Greece,2020,Male,Life expectancy,Total,,Years,78.4
Greece,2019,Male,Life expectancy,Total,,Years,78.7
Greece,2018,Male,Life expectancy,Total,,Years,78.7
Greece,2017,Male,Life expectancy,Total,,Years,78.3
Greece,2016,Male,Life expectancy,Total,,Years,78.3
Greece,2015,Male,Life expectancy,Total,,Years,78
Greece,2024,Female,Life expectancy,Total,,Years,84.4
Greece,2023,Female,Life expectancy,Total,,Years,84.2
Greece,2022,Female,Life expectancy,Total,,Years,83.4
Greece,2021,Female,Life expectancy,Total,,Years,82.9
Greece,2020,Female,Life expectancy,Total,,Years,83.8
Greece,2024,Total,Life expectancy,Total,,Years,81.9
Greece,2023,Total,Life expectancy,Total,,Years,81.7
Greece,2022,Total,Life expectancy,Total,,Years,80.8
Greece,2021,Total,Life expectancy,Total,,Years,80.1
Greece,2020,Total,Life expectancy,Total,,Years,81.1
Greece,2019,Total,Life expectancy,Total,,Years,81.4
Greece,2018,Total,Life expectancy,Total,,Years,81.5
Greece,2017,Total,Life expectancy,Total,,Years,81
Greece,2016,Total,Life expectancy,Total,,Years,81
Greece,2015,Total,Life expectancy,Total,,Years,80.8
Hungary,2023,Male,Life expectancy,Total,,Years,73.4
Hungary,2022,Male,Life expectancy,Total,,Years,72.6
Hungary,2019,Female,Life expectancy,Total,,Years,79.5
