country,year,sex,measure,category,method,unit,value
Bulgaria,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Bulgaria,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Bulgaria,2017,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Bulgaria,2018,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Bulgaria,2020,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Bulgaria,2021,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Croatia,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Croatia,2016,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Croatia,2019,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Croatia,2020,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Croatia,2023,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.1
Austria,2015,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.6
Austria,2020,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.6
Estonia,2018,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.6
Greece,2017,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.6
Greece,2019,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.6
Luxembourg,2018,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.6
Poland,2015,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.6
Slovenia,2018,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.6
Bulgaria,2015,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.6
Romania,2023,Female,Mortality,Diseases of the skin and subcutaneous tissue,Standardised rate,Deaths per 100 000 inhabitants,0.6
Chile,2015,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.6
Chile,2017,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.6
Chile,2020,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.6
Chile,2021,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.6
Costa Rica,2020,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.6
Iceland,2022,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.6
Latvia,2019,Female,Mortality,"Pregnancy, childbirth and the puerperium",Standardised rate,Deaths per 100 000 inhabitants,0.6
